City	Population Density (Persons/Square Mile)	2016 Population	Land Area (Square Miles)
New York, New York	28,211	8,537,673	303
Los Angeles, Califoria	8,484	3,976,322	469
Chicago, Illinois	11,883	2,704,958	228
Houston, Texas	3,842	2,303,482	600
Phoenix, Arizona	3,126	1,615,017	517
Philadelphia, Pennsylvania	11,692	1,567,872	134
San Antonio, Texas	3,238	1,492,510	461
San Diego, California	4,326	1,406,630	325
Dallas, Texas	3,870	1,317,929	341
San Jose, California	5,808	1,025,350	177
Austin, Texas	3,182	947,890	298
Jacksonville, Florida	1,179	880,619	747
San Francisco, California	18,581	870,887	47
Columbus, Ohio	3,960	860,090	217
Indianapolis, Indiana	2,366	855,164	361
Fort Worth, Texas	2,513	854,113	340
Charlotte, North Carolina	2,829	842,051	298
Seattle, Washington	8,391	704,352	84
Denver, Colorado	4,530	693,060	153
El Paso, Texas	2,676	683,080	255
Washington DC,	11,158	681,170	61
Boston, Massachusetts	13,943	673,184	48
Detroit, Michigan	4,849	672,795	139
Nashville, Tennessee	1,390	660,388	475
Memphis, Tennessee	2,072	652,717	315
Portland, Oregon	4,795	639,863	133
Oklahoma City, Oklahoma	1,053	638,367	606
Las Vegas, Nevada	4,660	632,912	136
Louisville, Kentucky	1,895	616,261	325
Baltimore, Maryland	7,594	614,664	81
Milwaukee, Wisconsin	6,191	595,047	96
Albuquerque, New Mexico	2,979	559,277	188
Tucson, Arizona	2,341	530,706	227
Fresno, California	4,663	522,053	112
Sacramento, California	5,058	495,234	98
Mesa, Arizona	3,551	484,587	136
Kansas City, Missouri	1,529	481,420	315
Atlanta, Georgia	3,549	472,522	133
Long Beach, California	9,348	470,130	50
Colorado Springs, Colorado	2,391	465,101	195
Raleigh, North Carolina	3,211	458,880	143
Miami, Florida	12,645	453,579	36
Virginia Beach, Virginia	1,818	452,602	249
Omaha, Nebraska	3,517	446,970	127
Oakland, California	7,528	420,005	56
Minneapolis, Minnesota	7,664	413,651	54
Tulsa, Oklahoma	2,049	403,090	197
Arlington, Texas	4,096	392,772	96
New Orleans, Louisiana	2,311	391,495	169
Wichita, Kansas	2,448	389,902	159
Cleveland, Ohio	4,965	385,809	78
Tampa, Florida	3,326	377,165	113
