date, Population, Annual Change
1950-12-31,137000,
1951-12-31,142000,3.65
1952-12-31,146000,2.82
1953-12-31,151000,3.42
1954-12-31,156000,3.31
1955-12-31,161000,3.21
1956-12-31,166000,3.11
1957-12-31,171000,3.01
1958-12-31,177000,3.51
1959-12-31,183000,3.39
1960-12-31,189000,3.28
1961-12-31,195000,3.17
1962-12-31,202000,3.59
1963-12-31,209000,3.47
1964-12-31,217000,3.83
1965-12-31,224000,3.23
1966-12-31,232000,3.57
1967-12-31,240000,3.45
1968-12-31,249000,3.75
1969-12-31,258000,3.61
1970-12-31,267000,3.49
1971-12-31,277000,3.75
1972-12-31,287000,3.61
1973-12-31,297000,3.48
1974-12-31,308000,3.7
1975-12-31,320000,3.9
1976-12-31,331000,3.44
1977-12-31,344000,3.93
1978-12-31,356000,3.49
1979-12-31,369000,3.65
1980-12-31,383000,3.79
1981-12-31,399000,4.18
1982-12-31,415000,4.01
1983-12-31,431000,3.86
1984-12-31,448000,3.94
1985-12-31,466000,4.02
1986-12-31,485000,4.08
1987-12-31,504000,3.92
1988-12-31,525000,4.17
1989-12-31,546000,4
1990-12-31,569000,4.21
1991-12-31,596000,4.75
1992-12-31,625000,4.87
1993-12-31,655000,4.8
1994-12-31,687000,4.89
1995-12-31,720000,4.8
1996-12-31,755000,4.86
1997-12-31,792000,4.9
1998-12-31,830000,4.8
1999-12-31,870000,4.82
2000-12-31,911000,4.71
2001-12-31,950000,4.28
2002-12-31,990000,4.21
2003-12-31,1031000,4.14
2004-12-31,1075000,4.27
2005-12-31,1120000,4.19
2006-12-31,1167000,4.2
2007-12-31,1216000,4.2
2008-12-31,1268000,4.28
2009-12-31,1321000,4.18
2010-12-31,1377000,4.24
2011-12-31,1434000,4.14
2012-12-31,1495000,4.25
2013-12-31,1558000,4.21
2014-12-31,1623000,4.17
2015-12-31,1692000,4.25
2016-12-31,1763000,4.2
2017-12-31,1838000,4.25
2018-12-31,1915000,4.19
2019-12-31,1985000,3.66
2020-12-31,2053000,3.43
2021-12-31,2117000,3.12
2022-12-31,2176000,2.79
2023-12-31,2228000,2.39
2024-12-31,2274000,2.06
2025-12-31,2313000,1.72
2026-12-31,2348000,1.51
2027-12-31,2378000,1.28
2028-12-31,2405000,1.14
2029-12-31,2430000,1.04
2030-12-31,2453000,0.95
2031-12-31,2475000,0.9
2032-12-31,2497000,0.89
2033-12-31,2519000,0.88
2034-12-31,2540000,0.83
2035-12-31,2560000,0.79
