date, Population, Annual Change
1950-12-31,142000,
1951-12-31,148000,4.23
1952-12-31,154000,4.05
1953-12-31,160000,3.9
1954-12-31,167000,4.38
1955-12-31,174000,4.19
1956-12-31,181000,4.02
1957-12-31,188000,3.87
1958-12-31,195000,3.72
1959-12-31,203000,4.1
1960-12-31,211000,3.94
1961-12-31,217000,2.84
1962-12-31,224000,3.23
1963-12-31,230000,2.68
1964-12-31,237000,3.04
1965-12-31,244000,2.95
1966-12-31,251000,2.87
1967-12-31,258000,2.79
1968-12-31,266000,3.1
1969-12-31,274000,3.01
1970-12-31,281000,2.55
1971-12-31,288000,2.49
1972-12-31,294000,2.08
1973-12-31,301000,2.38
1974-12-31,308000,2.33
1975-12-31,315000,2.27
1976-12-31,322000,2.22
1977-12-31,329000,2.17
1978-12-31,337000,2.43
1979-12-31,345000,2.37
1980-12-31,353000,2.32
1981-12-31,362000,2.55
1982-12-31,372000,2.76
1983-12-31,382000,2.69
1984-12-31,392000,2.62
1985-12-31,402000,2.55
1986-12-31,413000,2.74
1987-12-31,424000,2.66
1988-12-31,435000,2.59
1989-12-31,447000,2.76
1990-12-31,461000,3.13
1991-12-31,486000,5.42
1992-12-31,511000,5.14
1993-12-31,538000,5.28
1994-12-31,566000,5.2
1995-12-31,596000,5.3
1996-12-31,627000,5.2
1997-12-31,659000,5.1
1998-12-31,694000,5.31
1999-12-31,730000,5.19
2000-12-31,768000,5.21
2001-12-31,808000,5.21
2002-12-31,849000,5.07
2003-12-31,892000,5.06
2004-12-31,938000,5.16
2005-12-31,986000,5.12
2006-12-31,1036000,5.07
2007-12-31,1089000,5.12
2008-12-31,1145000,5.14
2009-12-31,1204000,5.15
2010-12-31,1265000,5.07
2011-12-31,1330000,5.14
2012-12-31,1398000,5.11
2013-12-31,1469000,5.08
2014-12-31,1544000,5.11
2015-12-31,1623000,5.12
2016-12-31,1706000,5.11
2017-12-31,1794000,5.16
2018-12-31,1886000,5.13
2019-12-31,1971000,4.51
2020-12-31,2054000,4.21
2021-12-31,2132000,3.8
2022-12-31,2204000,3.38
2023-12-31,2267000,2.86
2024-12-31,2321000,2.38
2025-12-31,2367000,1.98
2026-12-31,2407000,1.69
2027-12-31,2440000,1.37
2028-12-31,2469000,1.19
2029-12-31,2496000,1.09
2030-12-31,2520000,0.96
2031-12-31,2543000,0.91
2032-12-31,2566000,0.9
2033-12-31,2588000,0.86
2034-12-31,2610000,0.85
2035-12-31,2631000,0.8
