date, Population, Annual Change
1950-12-31,505000,
1951-12-31,518000,2.57
1952-12-31,530000,2.32
1953-12-31,543000,2.45
1954-12-31,557000,2.58
1955-12-31,570000,2.33
1956-12-31,584000,2.46
1957-12-31,598000,2.4
1958-12-31,613000,2.51
1959-12-31,628000,2.45
1960-12-31,643000,2.39
1961-12-31,660000,2.64
1962-12-31,676000,2.42
1963-12-31,693000,2.51
1964-12-31,711000,2.6
1965-12-31,729000,2.53
1966-12-31,747000,2.47
1967-12-31,766000,2.54
1968-12-31,785000,2.48
1969-12-31,805000,2.55
1970-12-31,821000,1.99
1971-12-31,822000,0.12
1972-12-31,824000,0.24
1973-12-31,825000,0.12
1974-12-31,827000,0.24
1975-12-31,829000,0.24
1976-12-31,830000,0.12
1977-12-31,832000,0.24
1978-12-31,834000,0.24
1979-12-31,835000,0.12
1980-12-31,838000,0.36
1981-12-31,846000,0.95
1982-12-31,853000,0.83
1983-12-31,861000,0.94
1984-12-31,869000,0.93
1985-12-31,877000,0.92
1986-12-31,885000,0.91
1987-12-31,893000,0.9
1988-12-31,901000,0.9
1989-12-31,909000,0.89
1990-12-31,921000,1.32
1991-12-31,948000,2.93
1992-12-31,976000,2.95
1993-12-31,1004000,2.87
1994-12-31,1033000,2.89
1995-12-31,1063000,2.9
1996-12-31,1095000,3.01
1997-12-31,1126000,2.83
1998-12-31,1159000,2.93
1999-12-31,1193000,2.93
2000-12-31,1225000,2.68
2001-12-31,1250000,2.04
2002-12-31,1275000,2
2003-12-31,1300000,1.96
2004-12-31,1327000,2.08
2005-12-31,1353000,1.96
2006-12-31,1380000,2
2007-12-31,1408000,2.03
2008-12-31,1437000,2.06
2009-12-31,1465000,1.95
2010-12-31,1495000,2.05
2011-12-31,1525000,2.01
2012-12-31,1556000,2.03
2013-12-31,1587000,1.99
2014-12-31,1619000,2.02
2015-12-31,1651000,1.98
2016-12-31,1685000,2.06
2017-12-31,1719000,2.02
2018-12-31,1753000,1.98
2019-12-31,1781000,1.6
2020-12-31,1807000,1.46
2021-12-31,1833000,1.44
2022-12-31,1858000,1.36
2023-12-31,1881000,1.24
2024-12-31,1903000,1.17
2025-12-31,1925000,1.16
2026-12-31,1945000,1.04
2027-12-31,1965000,1.03
2028-12-31,1984000,0.97
2029-12-31,2003000,0.96
2030-12-31,2021000,0.9
2031-12-31,2039000,0.89
2032-12-31,2057000,0.88
2033-12-31,2074000,0.83
2034-12-31,2092000,0.87
2035-12-31,2109000,0.81
