date, Population, Annual Change
1950-12-31,35000,
1951-12-31,38000,8.57
1952-12-31,42000,10.53
1953-12-31,47000,11.9
1954-12-31,51000,8.51
1955-12-31,56000,9.8
1956-12-31,62000,10.71
1957-12-31,69000,11.29
1958-12-31,75000,8.7
1959-12-31,83000,10.67
1960-12-31,92000,10.84
1961-12-31,101000,9.78
1962-12-31,111000,9.9
1963-12-31,123000,10.81
1964-12-31,135000,9.76
1965-12-31,149000,10.37
1966-12-31,164000,10.07
1967-12-31,181000,10.37
1968-12-31,200000,10.5
1969-12-31,220000,10
1970-12-31,240000,9.09
1971-12-31,255000,6.25
1972-12-31,271000,6.27
1973-12-31,288000,6.27
1974-12-31,306000,6.25
1975-12-31,325000,6.21
1976-12-31,345000,6.15
1977-12-31,367000,6.38
1978-12-31,389000,5.99
1979-12-31,414000,6.43
1980-12-31,438000,5.8
1981-12-31,459000,4.79
1982-12-31,482000,5.01
1983-12-31,505000,4.77
1984-12-31,530000,4.95
1985-12-31,556000,4.91
1986-12-31,583000,4.86
1987-12-31,612000,4.97
1988-12-31,642000,4.9
1989-12-31,673000,4.83
1990-12-31,708000,5.2
1991-12-31,755000,6.64
1992-12-31,804000,6.49
1993-12-31,857000,6.59
1994-12-31,913000,6.53
1995-12-31,973000,6.57
1996-12-31,1036000,6.47
1997-12-31,1104000,6.56
1998-12-31,1176000,6.52
1999-12-31,1253000,6.55
2000-12-31,1326000,5.83
2001-12-31,1375000,3.7
2002-12-31,1425000,3.64
2003-12-31,1478000,3.72
2004-12-31,1532000,3.65
2005-12-31,1589000,3.72
2006-12-31,1647000,3.65
2007-12-31,1708000,3.7
2008-12-31,1771000,3.69
2009-12-31,1836000,3.67
2010-12-31,1903000,3.65
2011-12-31,1973000,3.68
2012-12-31,2046000,3.7
2013-12-31,2121000,3.67
2014-12-31,2199000,3.68
2015-12-31,2280000,3.68
2016-12-31,2364000,3.68
2017-12-31,2451000,3.68
2018-12-31,2541000,3.67
2019-12-31,2621000,3.15
2020-12-31,2699000,2.98
2021-12-31,2772000,2.7
2022-12-31,2839000,2.42
2023-12-31,2899000,2.11
2024-12-31,2953000,1.86
2025-12-31,3000000,1.59
2026-12-31,3041000,1.37
2027-12-31,3078000,1.22
2028-12-31,3112000,1.1
2029-12-31,3143000,1
2030-12-31,3173000,0.95
2031-12-31,3202000,0.91
2032-12-31,3230000,0.87
2033-12-31,3258000,0.87
2034-12-31,3285000,0.83
2035-12-31,3312000,0.82
