date, Population, Annual Change
1950-12-31,75000,
1951-12-31,83000,10.67
1952-12-31,92000,10.84
1953-12-31,102000,10.87
1954-12-31,112000,9.8
1955-12-31,124000,10.71
1956-12-31,138000,11.29
1957-12-31,152000,10.14
1958-12-31,168000,10.53
1959-12-31,186000,10.71
1960-12-31,203000,9.14
1961-12-31,212000,4.43
1962-12-31,221000,4.25
1963-12-31,230000,4.07
1964-12-31,240000,4.35
1965-12-31,250000,4.17
1966-12-31,261000,4.4
1967-12-31,272000,4.21
1968-12-31,284000,4.41
1969-12-31,296000,4.23
1970-12-31,310000,4.73
1971-12-31,331000,6.77
1972-12-31,353000,6.65
1973-12-31,376000,6.52
1974-12-31,400000,6.38
1975-12-31,427000,6.75
1976-12-31,455000,6.56
1977-12-31,484000,6.37
1978-12-31,516000,6.61
1979-12-31,550000,6.59
1980-12-31,583000,6
1981-12-31,609000,4.46
1982-12-31,636000,4.43
1983-12-31,664000,4.4
1984-12-31,693000,4.37
1985-12-31,723000,4.33
1986-12-31,755000,4.43
1987-12-31,788000,4.37
1988-12-31,823000,4.44
1989-12-31,859000,4.37
1990-12-31,893000,3.96
1991-12-31,917000,2.69
1992-12-31,942000,2.73
1993-12-31,967000,2.65
1994-12-31,993000,2.69
1995-12-31,1020000,2.72
1996-12-31,1048000,2.75
1997-12-31,1076000,2.67
1998-12-31,1105000,2.7
1999-12-31,1134000,2.62
2000-12-31,1165000,2.73
2001-12-31,1197000,2.75
2002-12-31,1229000,2.67
2003-12-31,1262000,2.69
2004-12-31,1296000,2.69
2005-12-31,1331000,2.7
2006-12-31,1367000,2.7
2007-12-31,1404000,2.71
2008-12-31,1442000,2.71
2009-12-31,1481000,2.7
2010-12-31,1521000,2.7
2011-12-31,1562000,2.7
2012-12-31,1604000,2.69
2013-12-31,1647000,2.68
2014-12-31,1691000,2.67
2015-12-31,1737000,2.72
2016-12-31,1784000,2.71
2017-12-31,1832000,2.69
2018-12-31,1882000,2.73
2019-12-31,1923000,2.18
2020-12-31,1964000,2.13
2021-12-31,2002000,1.93
2022-12-31,2038000,1.8
2023-12-31,2071000,1.62
2024-12-31,2101000,1.45
2025-12-31,2129000,1.33
2026-12-31,2154000,1.17
2027-12-31,2178000,1.11
2028-12-31,2200000,1.01
2029-12-31,2222000,1
2030-12-31,2242000,0.9
2031-12-31,2262000,0.89
2032-12-31,2282000,0.88
2033-12-31,2302000,0.88
2034-12-31,2321000,0.83
2035-12-31,2340000,0.82
