date, Population, Annual Change
1950-12-31,516000,
1951-12-31,528000,2.33
1952-12-31,541000,2.46
1953-12-31,554000,2.4
1954-12-31,568000,2.53
1955-12-31,581000,2.29
1956-12-31,596000,2.58
1957-12-31,610000,2.35
1958-12-31,625000,2.46
1959-12-31,640000,2.4
1960-12-31,656000,2.5
1961-12-31,671000,2.29
1962-12-31,687000,2.38
1963-12-31,704000,2.47
1964-12-31,720000,2.27
1965-12-31,738000,2.5
1966-12-31,755000,2.3
1967-12-31,773000,2.38
1968-12-31,792000,2.46
1969-12-31,810000,2.27
1970-12-31,829000,2.35
1971-12-31,848000,2.29
1972-12-31,866000,2.12
1973-12-31,886000,2.31
1974-12-31,905000,2.14
1975-12-31,925000,2.21
1976-12-31,945000,2.16
1977-12-31,966000,2.22
1978-12-31,988000,2.28
1979-12-31,1009000,2.13
1980-12-31,1030000,2.08
1981-12-31,1043000,1.26
1982-12-31,1057000,1.34
1983-12-31,1071000,1.32
1984-12-31,1086000,1.4
1985-12-31,1100000,1.29
1986-12-31,1115000,1.36
1987-12-31,1130000,1.35
1988-12-31,1145000,1.33
1989-12-31,1161000,1.4
1990-12-31,1181000,1.72
1991-12-31,1217000,3.05
1992-12-31,1254000,3.04
1993-12-31,1292000,3.03
1994-12-31,1332000,3.1
1995-12-31,1372000,3
1996-12-31,1414000,3.06
1997-12-31,1457000,3.04
1998-12-31,1502000,3.09
1999-12-31,1548000,3.06
2000-12-31,1589000,2.65
2001-12-31,1614000,1.57
2002-12-31,1640000,1.61
2003-12-31,1665000,1.52
2004-12-31,1691000,1.56
2005-12-31,1718000,1.6
2006-12-31,1745000,1.57
2007-12-31,1772000,1.55
2008-12-31,1800000,1.58
2009-12-31,1828000,1.56
2010-12-31,1857000,1.59
2011-12-31,1886000,1.56
2012-12-31,1916000,1.59
2013-12-31,1946000,1.57
2014-12-31,1976000,1.54
2015-12-31,2008000,1.62
2016-12-31,2039000,1.54
2017-12-31,2071000,1.57
2018-12-31,2104000,1.59
2019-12-31,2127000,1.09
2020-12-31,2151000,1.13
2021-12-31,2174000,1.07
2022-12-31,2197000,1.06
2023-12-31,2220000,1.05
2024-12-31,2243000,1.04
2025-12-31,2265000,0.98
2026-12-31,2287000,0.97
2027-12-31,2309000,0.96
2028-12-31,2330000,0.91
2029-12-31,2352000,0.94
2030-12-31,2373000,0.89
2031-12-31,2394000,0.88
2032-12-31,2415000,0.88
2033-12-31,2436000,0.87
2034-12-31,2456000,0.82
2035-12-31,2476000,0.81
