date, Population, Annual Change
1950-12-31,139000,
1951-12-31,154000,10.79
1952-12-31,171000,11.04
1953-12-31,189000,10.53
1954-12-31,210000,11.11
1955-12-31,232000,10.48
1956-12-31,257000,10.78
1957-12-31,285000,10.89
1958-12-31,316000,10.88
1959-12-31,350000,10.76
1960-12-31,382000,9.14
1961-12-31,399000,4.45
1962-12-31,416000,4.26
1963-12-31,435000,4.57
1964-12-31,454000,4.37
1965-12-31,474000,4.41
1966-12-31,496000,4.64
1967-12-31,518000,4.44
1968-12-31,541000,4.44
1969-12-31,565000,4.44
1970-12-31,586000,3.72
1971-12-31,598000,2.05
1972-12-31,609000,1.84
1973-12-31,621000,1.97
1974-12-31,632000,1.77
1975-12-31,645000,2.06
1976-12-31,657000,1.86
1977-12-31,669000,1.83
1978-12-31,682000,1.94
1979-12-31,695000,1.91
1980-12-31,714000,2.73
1981-12-31,751000,5.18
1982-12-31,790000,5.19
1983-12-31,831000,5.19
1984-12-31,875000,5.29
1985-12-31,920000,5.14
1986-12-31,968000,5.22
1987-12-31,1018000,5.17
1988-12-31,1071000,5.21
1989-12-31,1127000,5.23
1990-12-31,1178000,4.53
1991-12-31,1208000,2.55
1992-12-31,1239000,2.57
1993-12-31,1270000,2.5
1994-12-31,1303000,2.6
1995-12-31,1336000,2.53
1996-12-31,1370000,2.54
1997-12-31,1406000,2.63
1998-12-31,1442000,2.56
1999-12-31,1478000,2.5
2000-12-31,1516000,2.57
2001-12-31,1554000,2.51
2002-12-31,1594000,2.57
2003-12-31,1634000,2.51
2004-12-31,1675000,2.51
2005-12-31,1717000,2.51
2006-12-31,1760000,2.5
2007-12-31,1805000,2.56
2008-12-31,1850000,2.49
2009-12-31,1897000,2.54
2010-12-31,1945000,2.53
2011-12-31,1994000,2.52
2012-12-31,2044000,2.51
2013-12-31,2096000,2.54
2014-12-31,2148000,2.48
2015-12-31,2202000,2.51
2016-12-31,2258000,2.54
2017-12-31,2315000,2.52
2018-12-31,2374000,2.55
2019-12-31,2422000,2.02
2020-12-31,2469000,1.94
2021-12-31,2514000,1.82
2022-12-31,2556000,1.67
2023-12-31,2595000,1.53
2024-12-31,2631000,1.39
2025-12-31,2664000,1.25
2026-12-31,2695000,1.16
2027-12-31,2724000,1.08
2028-12-31,2752000,1.03
2029-12-31,2778000,0.94
2030-12-31,2804000,0.94
2031-12-31,2829000,0.89
2032-12-31,2854000,0.88
2033-12-31,2878000,0.84
2034-12-31,2902000,0.83
2035-12-31,2926000,0.83
