date, Population, Annual Change
1950-12-31,216000,
1951-12-31,233000,7.87
1952-12-31,251000,7.73
1953-12-31,271000,7.97
1954-12-31,292000,7.75
1955-12-31,315000,7.88
1956-12-31,340000,7.94
1957-12-31,367000,7.94
1958-12-31,396000,7.9
1959-12-31,427000,7.83
1960-12-31,456000,6.79
1961-12-31,471000,3.29
1962-12-31,488000,3.61
1963-12-31,504000,3.28
1964-12-31,522000,3.57
1965-12-31,540000,3.45
1966-12-31,558000,3.33
1967-12-31,577000,3.41
1968-12-31,597000,3.47
1969-12-31,618000,3.52
1970-12-31,637000,3.07
1971-12-31,652000,2.35
1972-12-31,667000,2.3
1973-12-31,683000,2.4
1974-12-31,698000,2.2
1975-12-31,714000,2.29
1976-12-31,731000,2.38
1977-12-31,748000,2.33
1978-12-31,765000,2.27
1979-12-31,783000,2.35
1980-12-31,803000,2.55
1981-12-31,829000,3.24
1982-12-31,856000,3.26
1983-12-31,884000,3.27
1984-12-31,912000,3.17
1985-12-31,942000,3.29
1986-12-31,973000,3.29
1987-12-31,1004000,3.19
1988-12-31,1037000,3.29
1989-12-31,1071000,3.28
1990-12-31,1104000,3.08
1991-12-31,1130000,2.36
1992-12-31,1158000,2.48
1993-12-31,1186000,2.42
1994-12-31,1214000,2.36
1995-12-31,1244000,2.47
1996-12-31,1274000,2.41
1997-12-31,1305000,2.43
1998-12-31,1336000,2.38
1999-12-31,1369000,2.47
2000-12-31,1401000,2.34
2001-12-31,1431000,2.14
2002-12-31,1462000,2.17
2003-12-31,1493000,2.12
2004-12-31,1525000,2.14
2005-12-31,1558000,2.16
2006-12-31,1591000,2.12
2007-12-31,1626000,2.2
2008-12-31,1661000,2.15
2009-12-31,1696000,2.11
2010-12-31,1733000,2.18
2011-12-31,1770000,2.14
2012-12-31,1808000,2.15
2013-12-31,1847000,2.16
2014-12-31,1887000,2.17
2015-12-31,1927000,2.12
2016-12-31,1969000,2.18
2017-12-31,2011000,2.13
2018-12-31,2054000,2.14
2019-12-31,2089000,1.7
2020-12-31,2123000,1.63
2021-12-31,2155000,1.51
2022-12-31,2186000,1.44
2023-12-31,2215000,1.33
2024-12-31,2243000,1.26
2025-12-31,2269000,1.16
2026-12-31,2293000,1.06
2027-12-31,2317000,1.05
2028-12-31,2340000,0.99
2029-12-31,2362000,0.94
2030-12-31,2384000,0.93
2031-12-31,2405000,0.88
2032-12-31,2426000,0.87
2033-12-31,2447000,0.87
2034-12-31,2467000,0.82
2035-12-31,2487000,0.81
