date, Population, Annual Change
1950-12-31,454000,
1951-12-31,470000,3.52
1952-12-31,487000,3.62
1953-12-31,505000,3.7
1954-12-31,523000,3.56
1955-12-31,542000,3.63
1956-12-31,562000,3.69
1957-12-31,582000,3.56
1958-12-31,603000,3.61
1959-12-31,625000,3.65
1960-12-31,645000,3.2
1961-12-31,657000,1.86
1962-12-31,669000,1.83
1963-12-31,682000,1.94
1964-12-31,695000,1.91
1965-12-31,707000,1.73
1966-12-31,721000,1.98
1967-12-31,734000,1.8
1968-12-31,748000,1.91
1969-12-31,762000,1.87
1970-12-31,776000,1.84
1971-12-31,792000,2.06
1972-12-31,808000,2.02
1973-12-31,825000,2.1
1974-12-31,842000,2.06
1975-12-31,859000,2.02
1976-12-31,876000,1.98
1977-12-31,894000,2.05
1978-12-31,912000,2.01
1979-12-31,931000,2.08
1980-12-31,949000,1.93
1981-12-31,966000,1.79
1982-12-31,983000,1.76
1983-12-31,1001000,1.83
1984-12-31,1019000,1.8
1985-12-31,1038000,1.86
1986-12-31,1056000,1.73
1987-12-31,1075000,1.8
1988-12-31,1095000,1.86
1989-12-31,1114000,1.74
1990-12-31,1134000,1.8
1991-12-31,1152000,1.59
1992-12-31,1171000,1.65
1993-12-31,1190000,1.62
1994-12-31,1210000,1.68
1995-12-31,1229000,1.57
1996-12-31,1249000,1.63
1997-12-31,1270000,1.68
1998-12-31,1290000,1.57
1999-12-31,1311000,1.63
2000-12-31,1337000,1.98
2001-12-31,1375000,2.84
2002-12-31,1414000,2.84
2003-12-31,1454000,2.83
2004-12-31,1496000,2.89
2005-12-31,1538000,2.81
2006-12-31,1582000,2.86
2007-12-31,1627000,2.84
2008-12-31,1674000,2.89
2009-12-31,1722000,2.87
2010-12-31,1771000,2.85
2011-12-31,1821000,2.82
2012-12-31,1873000,2.86
2013-12-31,1926000,2.83
2014-12-31,1981000,2.86
2015-12-31,2038000,2.88
2016-12-31,2096000,2.85
2017-12-31,2156000,2.86
2018-12-31,2217000,2.83
2019-12-31,2269000,2.35
2020-12-31,2320000,2.25
2021-12-31,2368000,2.07
2022-12-31,2413000,1.9
2023-12-31,2454000,1.7
2024-12-31,2491000,1.51
2025-12-31,2525000,1.36
2026-12-31,2556000,1.23
2027-12-31,2584000,1.1
2028-12-31,2611000,1.04
2029-12-31,2636000,0.96
2030-12-31,2661000,0.95
2031-12-31,2685000,0.9
2032-12-31,2709000,0.89
2033-12-31,2732000,0.85
2034-12-31,2755000,0.84
2035-12-31,2777000,0.8
